From,To,Weight
A13,A52,0.0159
A19,A31,0.0159
A23,A15,0.0159
A06,A30,0.016
A31,A06,0.016
A25,A09,0.0161
A35,A32,0.0161
A08,A03,0.0162
A19,A33,0.0162
A22,A32,0.0162
A03,A51,0.0163
A17,A33,0.0163
A40,A28,0.0163
A40,A42,0.0163
A10,A34,0.0164
A19,A30,0.0164
A19,A34,0.0164
A10,A30,0.0165
A47,A27,0.0165
A17,A16,0.0166
A07,A37,0.0167
A44,A41,0.0167
A07,A25,0.0169
A10,A37,0.0169
A21,A46,0.0169
A31,A18,0.017
A32,A45,0.017
A18,A25,0.0171
A45,A14,0.0171
A47,A45,0.0171
A21,A30,0.0172
A38,A40,0.0172
A39,A48,0.0172
A23,A28,0.0173
A23,A31,0.0173
A39,A38,0.0173
A30,A30,0.0174
A40,A15,0.0174
A08,A31,0.0175
A11,A38,0.0176
A24,A42,0.0177
A42,A42,0.0177
A16,A32,0.0179
A09,A16,0.018
A10,A19,0.018
A17,A50,0.018
A19,A02,0.018
A23,A02,0.018
A31,A15,0.0181
A31,A40,0.0181
A33,A28,0.0181
A30,A29,0.0182
A03,A22,0.0183
A41,A14,0.0184
A49,A44,0.0186
A05,A11,0.0187
A23,A27,0.0187
A27,A39,0.0187
A34,A41,0.0187
A34,A46,0.0187
A49,A36,0.0187
A06,A18,0.0188
A27,A17,0.0189
A18,A10,0.019
A30,A13,0.019
A11,A43,0.0191
A39,A13,0.0191
A38,A16,0.0192
A48,A08,0.0192
A08,A30,0.0193
A29,A29,0.0193
A03,A15,0.0194
A23,A12,0.0194
A10,A35,0.0195
A23,A20,0.0196
A40,A35,0.0196
A18,A14,0.0197
A45,A23,0.0197
A06,A39,0.02
A08,A19,0.02
A30,A09,0.02
A29,A24,0.0202
A03,A42,0.0205
A19,A37,0.0206
A41,A41,0.0206
A45,A02,0.0206
A06,A16,0.0207
A08,A06,0.0207
A38,A51,0.0207
A48,A47,0.0207
A10,A49,0.0208
A07,A14,0.021
A13,A10,0.021
A18,A12,0.021
A35,A07,0.0211
A07,A38,0.0212
A05,A19,0.0213
A05,A21,0.0213
A27,A25,0.0213
A45,A39,0.0213
A32,A27,0.0215
A17,A18,0.0216
A47,A50,0.0216
A38,A45,0.0217
A21,A43,0.0222
A22,A28,0.0223
A09,A02,0.0224
A11,A39,0.0224
A35,A22,0.0224
A21,A15,0.0226
A31,A36,0.0226
A14,A12,0.0227
A18,A24,0.023
A45,A40,0.023
A17,A43,0.0231
A22,A20,0.0231
A32,A50,0.0232
A07,A22,0.0233
A13,A33,0.0233
A06,A14,0.0235
A39,A45,0.0237
A03,A41,0.0238
A34,A10,0.0238
A41,A18,0.0242
A16,A05,0.0244
A21,A44,0.0244
A31,A44,0.0244
A07,A39,0.0245
A18,A17,0.0248
A34,A16,0.0249
A44,A16,0.0249
A34,A19,0.0251
A40,A34,0.0251
A11,A31,0.0255
A08,A09,0.0256
A06,A50,0.0257
A52,A43,0.0257
A35,A48,0.0259
A21,A21,0.026
A48,A02,0.026
A14,A06,0.0263
A39,A33,0.0263
A50,A24,0.0263
A11,A25,0.0266
A39,A18,0.0266
A23,A34,0.0271
A33,A42,0.0271
A05,A45,0.0272
A08,A28,0.0272
A44,A07,0.0276
A13,A36,0.0277
A18,A05,0.0277
A38,A18,0.0277
A44,A21,0.0277
A03,A48,0.028
A10,A25,0.028
A10,A29,0.0282
A18,A21,0.0286
A01,A17,0.0287
A08,A25,0.0287
A38,A50,0.0287
A13,A01,0.0288
A45,A15,0.0289
